entropy,epoch,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,step,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.9631414413452148,0.0050062578222778474,2.044144868850708,1e-05,5.151237487792969,0.3393103927373886,55794.0,10,,,,,,,
2.0266712844371795,0.010012515644555695,1.7911756038665771,2.111111111111111e-05,4.858380508422852,0.3609315544366837,111638.0,20,,,,,,,
2.165136229991913,0.015018773466833541,1.0522875785827637,3.222222222222223e-05,4.09187126159668,0.45654369443655013,167483.0,30,,,,,,,
2.3396725058555603,0.02002503128911139,0.8806677460670471,4.3333333333333334e-05,3.252672576904297,0.5006205528974533,223874.0,40,,,,,,,
2.351372230052948,0.025031289111389236,0.700627863407135,5.4444444444444446e-05,2.526706314086914,0.5483797341585159,279962.0,50,,,,,,,
2.001315313577652,0.030037546933667083,0.3925231695175171,6.555555555555556e-05,2.069131851196289,0.6227115482091904,335994.0,60,,,,,,,
1.8465953171253204,0.03504380475594493,0.262159526348114,7.666666666666667e-05,1.8561098098754882,0.6449012577533721,391901.0,70,,,,,,,
1.7601722598075866,0.04005006257822278,0.2729097306728363,8.777777777777778e-05,1.7552738189697266,0.6546805918216705,447726.0,80,,,,,,,
1.728206568956375,0.04505632040050062,0.23115822672843933,9.888888888888889e-05,1.7184467315673828,0.6566966891288757,503717.0,90,,,,,,,
1.7014572322368622,0.05006257822277847,0.3541950285434723,0.00011000000000000002,1.7197811126708984,0.6599173158407211,559544.0,100,,,,,,,
1.6976435303688049,0.05506883604505632,0.21607361733913422,0.0001211111111111111,1.7020278930664063,0.6613395154476166,615845.0,110,,,,,,,
1.6900142014026642,0.060075093867334166,0.1777205765247345,0.00013222222222222221,1.6954113006591798,0.6634742438793182,672227.0,120,,,,,,,
1.6560805320739747,0.06508135168961202,0.1986856460571289,0.00014333333333333334,1.6683122634887695,0.6643815219402314,728020.0,130,,,,,,,
1.6769811749458312,0.07008760951188986,0.18548491597175598,0.00015444444444444446,1.6925083160400392,0.6600162297487259,784460.0,140,,,,,,,
